"Ranking,Name,ELO,PlayedGames"
"286,Spooky,107.1,690"
"287,Player862,106.6,134"
"288,Natu,106.5,181"
"289,[EZ],105.8,157"
"290,Lars,105.8,2075"
"291,[Ru]Зайка,105.7,697"
"292,Fixyourgame,105.6,797"
"293,Player1,105.6,264"
"294,WalkingDead,105.6,254"
"295,[4RP]GW,105.5,426"
"296,Onheek,105.3,448"
"297,[ARCH]dc:iamlimehill,105.3,206"
"298,[OG]Sav,105.2,1029"
"299,Empire_of_lies,105.2,272"
"300,Dueter,105.0,123"
"301,GoVegan,104.9,140"
"302,[CZ]Polyhistor,104.1,109"
"303,Player231,104.1,249"
"304,[TROLL]SuicideBomber,103.9,198"
"305,[WIRE]Alive,103.8,151"
"306,whiteguard,103.8,171"
"307,Yourmumistasty,103.7,126"
"308,dan[X]bluey+kuwait,103.6,358"
"309,Hax,103.6,572"
"310,playerplayerplayer,103.4,308"
"311,Poland,103.3,905"
"312,IQuitThatPhilGuy,103.0,312"
"313,[PL]Cpt,102.9,37"
"314,bigtrain,102.7,73"
"315,fffffffff,102.5,105"
"316,...,102.3,1238"
"317,AccidentalTalent,102.2,139"
"318,[PL]hgmn,102.2,140"
"319,dwillow,102.0,624"
"320,Youarea[LOOSER],101.8,128"
"321,[X]dc:iamlimehil,101.7,325"
"322,[DRAIN]mimi,101.6,233"
"323,Lenin,101.5,56"
"324,Vorelian[PL],101.5,114"
"325,Vecsi,101.5,50"
"326,Hax,101.5,64"
"327,[CG]Mad,101.3,1040"
"328,Adolf,101.2,135"
"329,[Kyoto],101.2,71"
"330,TameImp-BrdrLne[ITA],101.2,159"
"331,Broareyoudelusional?,101.0,56"
"332,Zaebis,100.9,349"
"333,cheez,100.9,142"
"334,[OG]a,100.7,64"
"335,Daglaxsy×[corgi],100.7,108"
"336,[SPQR]Snoopy,100.6,118"
"337,Ghost,100.6,643"
"338,[OG]PEDmm,100.5,179"
"339,Hellisnear,100.5,51"
"340,Boricua,100.5,1430"
"341,Muhammadwasapedo,100.4,1220"
"342,Steam,100.4,48"
"343,ElonMuskisAryan,100.4,1001"
"344,megapint228,100.3,87"
"345,seven,100.2,98"
"346,milkcube,100.1,145"
"347,[GR]Arapis,100.1,67"
"348,Huge[Rooster],99.8,171"
"349,[TR]mhbys,99.6,248"
"350,Player77,99.5,95"
"351,EvrrSS(washed),99.4,39"
"352,[PLUTO]azasi,99.3,229"
"353,[OG]PEDmm,99.1,140"
"354,vos,99.1,70"
"355,Bearritas,99.0,138"
"356,MariuszPudzianowski,99.0,238"
"357,[NL]NieuwHolland,98.9,365"
"358,[NSB]Lorenzo,98.9,80"
"359,Nil,98.7,1016"
"360,fun,98.6,388"
"361,[Waifu]Alea,98.6,256"
"362,[Orange]Aer641,98.6,44"
"363,[CHRIST]Noob2,98.6,57"
"364,Player187,98.5,154"
"365,[FR]otteMoiLaGraine,98.5,447"
"366,Cooch,98.4,408"
"367,[BigZ]Gargamel,98.4,588"
"368,[KUW].gg/PDNS43bM,98.3,829"
"369,[BBQ]Brisket,98.3,557"
"370,[TR]Shepperd61,98.0,198"
"371,[OG]Propaganda,98.0,68"
"372,Stanley265,98.0,52"
"373,[Wrath]ThighLing,97.7,35"
"374,Protput,97.7,476"
"375,StrappingYoungLad!,97.5,169"
"376,[WRATH]Lapras,97.5,480"
"377,megapint519,97.2,95"
"378,[Wire]adk,97.1,75"
"379,Player377,97.0,121"
"380,squanch,97.0,316"
"381,Vinland,96.9,186"
"382,Lt.Speirs,96.8,155"
"383,GoogleEnPassant,96.7,59"
"384,Murr,96.5,72"
"385,UrftheManatee,96.5,61"
"386,[LT]guru,96.3,276"
"387,danilsolo,96.3,240"
"388,nitric22,96.3,131"
"389,[VICE]GiveMeFreeElo,96.2,28"
"390,[CORGI]Knocks[VICE],96.1,101"
"391,[hehe]Player846,96.1,211"
"392,GoHamas,96.0,97"
"393,[UA]MorePassion,96.0,126"
"394,[OG]LysucasMobil,95.8,74"
"395,[PL]sodied,95.8,165"
"396,Player840,95.8,204"
"397,JacknifeJack,95.6,796"
